experiment,folder,instance_id,scale_group,seed,w_num,l_num,n_required_totes,orders_num,robot_num,picking_station_num,file
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,0,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_0.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,1,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_1.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,2,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_2.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,3,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_3.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,4,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_4.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,5,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_5.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,6,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_6.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,7,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_7.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,8,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_8.json
drl_alns_comparison,drl_alns_comparison/IV-1,IV-1,drl_alns_comparison,9,5,5,30,30,10,6,data/generated_instances/drl_alns_comparison/IV-1/seed_9.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,0,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_0.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,1,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_1.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,2,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_2.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,3,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_3.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,4,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_4.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,5,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_5.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,6,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_6.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,7,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_7.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,8,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_8.json
drl_alns_comparison,drl_alns_comparison/IV-2,IV-2,drl_alns_comparison,9,6,6,40,40,15,7,data/generated_instances/drl_alns_comparison/IV-2/seed_9.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,0,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_0.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,1,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_1.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,2,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_2.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,3,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_3.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,4,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_4.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,5,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_5.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,6,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_6.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,7,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_7.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,8,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_8.json
drl_alns_comparison,drl_alns_comparison/IV-3,IV-3,drl_alns_comparison,9,7,7,50,50,20,8,data/generated_instances/drl_alns_comparison/IV-3/seed_9.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,0,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_0.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,1,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_1.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,2,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_2.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,3,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_3.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,4,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_4.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,5,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_5.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,6,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_6.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,7,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_7.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,8,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_8.json
drl_alns_comparison,drl_alns_comparison/IV-4,IV-4,drl_alns_comparison,9,8,8,60,60,25,9,data/generated_instances/drl_alns_comparison/IV-4/seed_9.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,0,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_0.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,1,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_1.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,2,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_2.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,3,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_3.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,4,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_4.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,5,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_5.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,6,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_6.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,7,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_7.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,8,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_8.json
drl_alns_comparison,drl_alns_comparison/IV-5,IV-5,drl_alns_comparison,9,9,9,70,70,30,11,data/generated_instances/drl_alns_comparison/IV-5/seed_9.json
