experiment,folder,instance_id,scale_group,seed,w_num,l_num,n_required_totes,orders_num,robot_num,picking_station_num,file
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o10_k10_p5_seed1,emergency_reservation,1,6,18,10,10,10,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o10_k10_p5_seed1.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o10_k10_p5_seed2,emergency_reservation,2,6,18,10,10,10,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o10_k10_p5_seed2.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o10_k10_p5_seed3,emergency_reservation,3,6,18,10,10,10,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o10_k10_p5_seed3.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o20_k15_p5_seed1,emergency_reservation,1,6,18,10,20,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o20_k15_p5_seed1.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o20_k15_p5_seed2,emergency_reservation,2,6,18,10,20,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o20_k15_p5_seed2.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o20_k15_p5_seed3,emergency_reservation,3,6,18,10,20,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o20_k15_p5_seed3.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o30_k15_p5_seed1,emergency_reservation,1,6,18,10,30,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o30_k15_p5_seed1.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o30_k15_p5_seed2,emergency_reservation,2,6,18,10,30,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o30_k15_p5_seed2.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o30_k15_p5_seed3,emergency_reservation,3,6,18,10,30,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o30_k15_p5_seed3.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o40_k15_p5_seed1,emergency_reservation,1,6,18,10,40,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o40_k15_p5_seed1.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o40_k15_p5_seed2,emergency_reservation,2,6,18,10,40,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o40_k15_p5_seed2.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o40_k15_p5_seed3,emergency_reservation,3,6,18,10,40,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o40_k15_p5_seed3.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o50_k15_p5_seed1,emergency_reservation,1,6,18,10,50,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o50_k15_p5_seed1.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o50_k15_p5_seed2,emergency_reservation,2,6,18,10,50,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o50_k15_p5_seed2.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o50_k15_p5_seed3,emergency_reservation,3,6,18,10,50,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o50_k15_p5_seed3.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o60_k15_p5_seed1,emergency_reservation,1,6,18,10,60,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o60_k15_p5_seed1.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o60_k15_p5_seed2,emergency_reservation,2,6,18,10,60,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o60_k15_p5_seed2.json
emergency_reservation,emergency_reservation/regular_instances,w6_l18_n10_o60_k15_p5_seed3,emergency_reservation,3,6,18,10,60,15,5,data/generated_instances/emergency_reservation/regular_instances/w6_l18_n10_o60_k15_p5_seed3.json
