experiment,folder,instance_id,scale_group,seed,w_num,l_num,n_required_totes,orders_num,robot_num,picking_station_num,file
main_experiments,main_experiments/small/I-1,I-1,small,0,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_0.json
main_experiments,main_experiments/small/I-1,I-1,small,1,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_1.json
main_experiments,main_experiments/small/I-1,I-1,small,2,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_2.json
main_experiments,main_experiments/small/I-1,I-1,small,3,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_3.json
main_experiments,main_experiments/small/I-1,I-1,small,4,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_4.json
main_experiments,main_experiments/small/I-1,I-1,small,5,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_5.json
main_experiments,main_experiments/small/I-1,I-1,small,6,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_6.json
main_experiments,main_experiments/small/I-1,I-1,small,7,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_7.json
main_experiments,main_experiments/small/I-1,I-1,small,8,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_8.json
main_experiments,main_experiments/small/I-1,I-1,small,9,2,4,2,3,3,2,data/generated_instances/main_experiments/small/I-1/seed_9.json
main_experiments,main_experiments/small/I-2,I-2,small,0,2,4,4,3,3,2,data/generated_instances/main_experiments/small/I-2/seed_0.json
main_experiments,main_experiments/small/I-2,I-2,small,1,2,4,4,3,3,2,data/generated_instances/main_experiments/small/I-2/seed_1.json
main_experiments,main_experiments/small/I-2,I-2,small,2,2,4,4,3,3,2,data/generated_instances/main_experiments/small/I-2/seed_2.json
main_experiments,main_experiments/small/I-2,I-2,small,3,2,4,4,3,3,2,data/generated_instances/main_experiments/small/I-2/seed_3.json
main_experiments,main_experiments/small/I-2,I-2,small,4,2,4,4,3,3,2,data/generated_instances/main_experiments/small/I-2/seed_4.json
